Make,Model,Year,MSRP
Mitsubishi,Eclipse Spyder,2010,32599
Volkswagen,Beetle Convertible,2015,32595
Volkswagen,Beetle Convertible,2015,32595
Subaru,Tribeca,2013,32595
Dodge,Durango,2017,32595
Subaru,Tribeca,2012,32595
Buick,Rainier,2006,32580
Nissan,Frontier,2017,32580
Honda,Pilot,2016,32580
Honda,Accord Crosstour,2010,32570
Nissan,Frontier,2015,32560
Nissan,Frontier,2015,32560
Volkswagen,Beetle,2016,32550
Hyundai,Santa Fe,2017,32550
Volkswagen,Beetle,2016,32550
Honda,Odyssey,2016,32550
Honda,Accord,2015,32550
Volkswagen,Beetle,2017,32550
Honda,Accord,2015,32550
Ford,F-150,2015,32545
Toyota,Sienna,2017,32540
GMC,Savana Cargo,2014,32535
Toyota,Highlander,2015,32530
Buick,Lucerne,2009,32520
Chevrolet,TrailBlazer EXT,2005,32515
Nissan,Maxima,2016,32510
Nissan,Frontier,2017,32510
Mercedes-Benz,Metris,2016,32500
Kia,Sportage,2017,32500
Audi,Q3,2015,32500
Mercedes-Benz,GLA-Class,2016,32500
Subaru,B9 Tribeca,2007,32495
Subaru,B9 Tribeca,2007,32495
Nissan,Titan,2015,32490
Toyota,Tundra,2015,32480
Mazda,CX-9,2014,32480
Mazda,CX-9,2015,32480
Volkswagen,Beetle,2015,32475
Volkswagen,Beetle,2015,32475
Volvo,V70,2008,32465
Toyota,Tacoma,2016,32460
Toyota,Tacoma,2016,32460
GMC,Savana Cargo,2016,32455
GMC,Acadia,2017,32450
Audi,A3,2015,32450
GMC,Sierra 1500,2017,32445
Chevrolet,Colorado,2016,32440
Ford,Transit Wagon,2015,32420
Mercedes-Benz,CLA-Class,2017,32400
Saab,9-3 Griffin,2012,32395
Ford,Mustang,2016,32395
Saab,9-3 Griffin,2012,32395
Subaru,B9 Tribeca,2006,32395
Subaru,B9 Tribeca,2006,32395
Honda,Pilot,2017,32395
Saab,9-3,2011,32395
Saab,9-3,2010,32395
Chevrolet,Silverado 1500,2015,32395
Dodge,Grand Caravan,2017,32395
Toyota,Tacoma,2017,32390
Subaru,Outback,2017,32390
Ford,E-Series Van,2013,32385
Buick,LeSabre,2005,32385
Chevrolet,Colorado,2015,32385
Honda,Ridgeline,2014,32380
Ford,Escape Hybrid,2010,32370
Lincoln,LS,2004,32370
GMC,Terrain,2016,32370
Ford,Explorer Sport Trac,2009,32360
Ford,Explorer Sport Trac,2009,32360
Volvo,S40,2009,32350
Nissan,Altima,2015,32350
Nissan,Frontier,2017,32340
Chrysler,300,2017,32340
Ford,Fusion Hybrid,2015,32330
Chevrolet,Silverado 1500 Classic,2007,32330
Ford,Taurus X,2009,32325
Chevrolet,TrailBlazer EXT,2004,32320
Ford,Escape Hybrid,2011,32320
Chrysler,300M,2003,32315
Pontiac,G6,2009,32300
Ford,Mustang,2015,32300
Kia,Sedona,2015,32300
Ford,Flex,2016,32300
Lexus,ES 330,2006,32300
Pontiac,GTO,2005,32295
Subaru,B9 Tribeca,2006,32295
Subaru,B9 Tribeca,2006,32295
Mazda,RX-8,2011,32290
Toyota,Avalon,2015,32285
Honda,Odyssey,2015,32275
Honda,Accord,2015,32270
Ford,Transit Wagon,2015,32270
Chrysler,300,2016,32260
Mazda,RX-8,2011,32260
Infiniti,G35,2007,32250
Infiniti,G35,2008,32250
Toyota,Tacoma,2017,32240
GMC,Sierra 1500,2017,32230
Volkswagen,Beetle Convertible,2015,32225
Oldsmobile,Bravada,2002,32215
Ford,F-150,2016,32210
Ford,F-150,2017,32210
Nissan,Titan,2014,32210
Mazda,MX-5 Miata,2015,32205
Lexus,CT 200h,2015,32200
Kia,Optima Hybrid,2016,32195
Subaru,WRX,2017,32195
Toyota,Tundra,2016,32190
GMC,Savana,2015,32190
Chevrolet,Express,2015,32190
Toyota,RAV4 Hybrid,2017,32185
Lexus,ES 330,2005,32175
Toyota,Tundra,2015,32170
Toyota,Tundra,2015,32170
GMC,Sierra 1500 Classic,2007,32170
Dodge,Ram Pickup 1500,2008,32155
Chevrolet,TrailBlazer,2008,32155
Honda,Ridgeline,2013,32155
Hyundai,Santa Fe,2016,32150
Hyundai,Genesis Coupe,2014,32150
Hyundai,Genesis Coupe,2014,32150
Kia,Optima Hybrid,2015,32150
GMC,Sierra 1500,2017,32145
Mazda,RX-8,2010,32140
Dodge,Dakota,2008,32135
Oldsmobile,Silhouette,2004,32125
Honda,Pilot,2015,32120
Mazda,RX-8,2010,32110
Toyota,Venza,2015,32110
Kia,Sorento,2016,32100
Nissan,Leaf,2015,32100
Ford,Flex,2015,32100
Mitsubishi,Endeavor,2011,32099
Volkswagen,GTI,2013,32095
Chevrolet,Silverado 1500,2015,32095
Pontiac,Firebird,2002,32095
Volkswagen,GTI,2013,32095
Honda,CR-V,2016,32095
Nissan,Altima,2016,32090
Dodge,Ram Pickup 1500,2010,32085
Chevrolet,Colorado,2015,32085
Buick,LeSabre,2004,32085
Nissan,Frontier,2016,32080
Volkswagen,Tiguan,2017,32070
Chrysler,300M,2002,32065
Buick,LaCrosse,2017,32065
Nissan,Titan,2015,32060
Honda,Accord Hybrid,2015,32055
Mercedes-Benz,CLA-Class,2016,32050
GMC,Envoy XUV,2005,32030
GMC,Sierra 1500 Classic,2007,32025
Toyota,Highlander,2016,32015
Volkswagen,Routan,2012,32010
Nissan,Leaf,2015,32000
Nissan,Leaf,2014,32000
Infiniti,G Sedan,2011,32000
Dodge,Challenger,2016,31995
Volkswagen,Beetle Convertible,2015,31995
Volkswagen,Beetle Convertible,2015,31995
Kia,Optima,2014,31995
Dodge,Charger,2017,31995
Dodge,Charger,2016,31995
Volkswagen,Eos,2016,31995
Subaru,B9 Tribeca,2007,31995
Dodge,Challenger,2015,31995
Volkswagen,Golf GTI,2017,31990
Kia,Cadenza,2017,31990
Toyota,Tundra,2015,31990
Acura,TSX Sport Wagon,2014,31985
Nissan,Pathfinder,2017,31980
Acura,ILX,2017,31980
Ford,Escape Hybrid,2009,31975
Chevrolet,TrailBlazer EXT,2004,31970
Buick,Encore,2017,31965
GMC,Sierra 1500 Classic,2007,31965
GMC,Sierra 1500,2016,31955
Kia,Soul EV,2016,31950
Nissan,Altima,2015,31950
Honda,Pilot,2016,31945
GMC,Envoy XL,2005,31945
Chevrolet,Silverado 1500,2015,31940
Nissan,Titan,2015,31940
Mazda,RX-8,2009,31930
GMC,Jimmy,2001,31925
Toyota,Tacoma,2016,31920
Chevrolet,Equinox,2015,31920
Nissan,Titan,2014,31910
Chevrolet,TrailBlazer,2008,31910
Ford,F-150,2016,31905
Ford,F-150,2017,31905
Honda,Accord Hybrid,2014,31905
Chevrolet,Camaro,2017,31905
Ford,E-Series Wagon,2013,31900
Infiniti,EX35,2008,31900
Infiniti,G35,2007,31900
Acura,TLX,2017,31900
Hyundai,Santa Fe,2015,31900
Buick,Regal,2016,31900
Volkswagen,Jetta Hybrid,2014,31895
Acura,ILX,2016,31890
GMC,Envoy,2008,31885
Dodge,Ram Pickup 1500,2009,31880
Chrysler,Town and Country,2016,31875
Toyota,Tacoma,2017,31875
Pontiac,G6,2009,31870
GMC,Savana,2014,31865
Chevrolet,Express,2014,31865
Acura,TSX Sport Wagon,2013,31860
Ford,E-Series Wagon,2012,31855
GMC,Canyon,2016,31855
Mazda,CX-7,2012,31840
Toyota,Sienna,2016,31840
Nissan,Frontier,2016,31840
Ford,Windstar,2003,31835
Toyota,RAV4,2017,31830
Toyota,Tundra,2017,31830
Chevrolet,Silverado 1500,2017,31825
Chevrolet,Silverado 1500 Classic,2007,31810
Toyota,Venza,2014,31810
Chevrolet,TrailBlazer,2008,31810
FIAT,500e,2016,31800
FIAT,500e,2015,31800
Audi,Q3,2017,31800
FIAT,500e,2017,31800
Dodge,Journey,2017,31795
Volkswagen,Beetle Convertible,2014,31795
Dodge,Journey,2016,31795
Pontiac,GTO,2004,31795
Volkswagen,Beetle Convertible,2014,31795
Saab,9-3,2009,31790
Volkswagen,Passat,2015,31790
Volkswagen,Passat,2015,31790
Infiniti,I30,2001,31790
Ford,Edge,2016,31790
Ford,Edge,2017,31790
Chevrolet,Venture,2003,31790
Chevrolet,Equinox,2017,31790
GMC,Canyon,2012,31790
Nissan,Titan,2014,31790
Chrysler,200,2016,31785
Chrysler,200,2017,31785
Dodge,Magnum,2008,31780
Volkswagen,Routan,2011,31770
Pontiac,G8,2009,31755
Nissan,Frontier,2015,31750
Pontiac,Solstice,2008,31750
Chevrolet,Silverado 1500,2015,31750
Acura,ILX,2015,31750
Suzuki,XL7,2007,31749
Ford,Escape,2016,31745
Toyota,Tacoma,2017,31740
Toyota,Tacoma,2017,31740
GMC,Sierra 1500 Classic,2007,31735
Dodge,Ram Pickup 1500,2010,31730
Lexus,ES 330,2004,31725
Lexus,ES 300,2003,31725
Ford,F-150,2017,31710
Ford,F-150,2016,31710
Nissan,Frontier,2016,31710
Mazda,RX-8,2009,31700
Kia,Sorento,2015,31700
Hyundai,Santa Fe Sport,2017,31700
Mitsubishi,Outlander,2017,31695
Chrysler,300,2015,31695
Mazda,Tribute Hybrid,2009,31695
Volkswagen,GTI,2012,31695
Volkswagen,GTI,2012,31695
Acura,TLX,2016,31695
Nissan,Frontier,2016,31690
Oldsmobile,Silhouette,2003,31690
Toyota,Tacoma,2016,31680
Mazda,Millenia,2002,31675
Volkswagen,Jetta,2015,31670
Chevrolet,Colorado,2016,31670
Chevrolet,Silverado 1500 Classic,2007,31665
Toyota,Tundra,2015,31660
GMC,Sierra 1500,2016,31655
GMC,Canyon,2015,31650
Honda,CR-V,2015,31645
Nissan,Xterra,2015,31640
Subaru,Legacy,2017,31640
Toyota,Sienna,2016,31640
Mazda,CX-7,2011,31640
Acura,TSX,2014,31635
Acura,TSX,2014,31635
Toyota,Sienna,2015,31630
Volkswagen,Golf GTI,2016,31630
Ford,Windstar,2002,31630
Dodge,Dakota,2009,31630
Ford,F-150,2015,31625
Volkswagen,Beetle,2015,31625
Volkswagen,Beetle,2015,31625
Toyota,Tacoma,2016,31625
Chevrolet,Silverado 1500,2015,31625
Ford,Taurus,2017,31625
Toyota,Tundra,2017,31620
Toyota,Tundra,2017,31620
Ford,Taurus X,2008,31620
Buick,Regal,2017,31615
Oldsmobile,Aurora,2002,31615
Ford,Escape Hybrid,2010,31610
Chevrolet,Silverado 1500,2017,31610
Subaru,WRX,2016,31595
Mazda,CX-9,2015,31575
Land Rover,Freelander,2003,31575
Mazda,CX-9,2014,31575
Volkswagen,Beetle Convertible,2016,31570
Volkswagen,CC,2016,31570
Volkswagen,Beetle Convertible,2016,31570
Volkswagen,CC,2016,31570
GMC,Terrain,2015,31570
Buick,Regal,2016,31565
Toyota,Tundra,2015,31560
Chevrolet,Colorado,2015,31555
Buick,Rainier,2007,31550
Volkswagen,Golf GTI,2015,31540
GMC,Canyon,2016,31540
Chevrolet,Silverado 1500,2017,31525
Nissan,Pathfinder,2016,31520
Mazda,CX-9,2016,31520
Dodge,Magnum,2007,31515
Honda,Ridgeline,2017,31515
Nissan,Frontier,2015,31510
Acura,TSX,2013,31510
Acura,TSX,2013,31510
Toyota,Venza,2013,31510
Toyota,RAV4,2016,31510
Lexus,ES 300,2001,31505
Lexus,ES 300,2002,31505
Ford,Edge,2015,31500
BMW,1 Series,2013,31500
Kia,Sorento,2017,31500
Mercedes-Benz,CLA-Class,2015,31500
BMW,1 Series,2013,31500
Mitsubishi,Endeavor,2010,31499
Dodge,Grand Caravan,2016,31495
Volkswagen,Beetle Convertible,2015,31495
Volkswagen,Beetle Convertible,2015,31495
Volkswagen,GTI,2013,31495
Volkswagen,GTI,2013,31495
Chevrolet,Venture,2003,31490
Chevrolet,Equinox,2016,31490
Kia,Sportage,2016,31490
Ford,F-150,2016,31485
Ford,F-150,2017,31485
Ford,Escape,2015,31485
Ford,E-Series Van,2013,31485
Honda,Pilot,2015,31470
Nissan,Pathfinder,2015,31470
Buick,Regal,2017,31465
Chevrolet,Silverado 1500 Classic,2007,31465
Chrysler,Town and Country,2015,31465
Ford,E-Series Van,2012,31460
Infiniti,G35,2006,31450
Infiniti,G35,2007,31450
Volkswagen,Beetle,2016,31450
Volkswagen,Beetle,2016,31450
Dodge,Ram Pickup 1500,2008,31445
Volkswagen,Golf SportWagen,2015,31445
Acura,TLX,2015,31445
Toyota,Sienna,2015,31430
Ford,Fusion Hybrid,2016,31430
Toyota,Tacoma,2016,31420
Ford,E-Series Van,2014,31420
Buick,LeSabre,2003,31420
GMC,Savana Cargo,2015,31415
Buick,Regal,2016,31415
Pontiac,Torrent,2009,31415
GMC,Sierra 1500HD,2006,31405
Volkswagen,Beetle Convertible,2015,31395
Dodge,Journey,2015,31395
Dodge,Journey,2015,31395
Ford,Escape Hybrid,2009,31395
GMC,Sierra 1500,2016,31390
Ford,Taurus,2016,31390
Volkswagen,Tiguan,2016,31390
Toyota,RAV4,2017,31385
Volkswagen,Beetle,2015,31375
Volkswagen,Beetle,2015,31375
Chevrolet,Silverado 1500 Classic,2007,31375
Toyota,Camry,2016,31370
Nissan,Xterra,2014,31370
Toyota,Camry,2015,31370
Toyota,Camry,2017,31370
Toyota,Camry,2017,31370
Toyota,Camry,2016,31370
Toyota,Camry,2015,31370
Dodge,Dakota,2010,31365
Acura,TSX Sport Wagon,2012,31360
Nissan,Frontier,2015,31360
Oldsmobile,Silhouette,2002,31355
Volvo,S40,2010,31350
Nissan,Murano,2017,31340
Nissan,Murano,2016,31340
Ford,Taurus,2015,31335
Chevrolet,Silverado 1500,2016,31335
Mazda,CX-7,2010,31335
Ford,Taurus X,2009,31330
Chevrolet,TrailBlazer,2009,31330
Ford,Explorer Sport Trac,2008,31320
GMC,Envoy XL,2004,31320
Ford,F-150,2015,31320
Chevrolet,TrailBlazer,2007,31320
Ford,Explorer Sport Trac,2008,31320
Mitsubishi,Montero Sport,2003,31317
Mitsubishi,Montero Sport,2002,31317
Nissan,Rogue,2017,31310
Cadillac,Catera,2001,31305
Hyundai,Tucson,2016,31300
Chevrolet,Traverse,2017,31300
Mercedes-Benz,GLA-Class,2015,31300
BMW,Z3,2002,31300
BMW,Z3,2001,31300
Subaru,Forester,2017,31295
Toyota,Tundra,2017,31290
Nissan,Maxima,2014,31290
Nissan,370Z,2016,31290
Nissan,370Z,2017,31290
Nissan,370Z,2015,31290
Toyota,Tundra,2017,31290
Pontiac,GTO,2006,31290
Buick,Encore,2016,31285
Chevrolet,TrailBlazer,2009,31275
Honda,Ridgeline,2017,31275
Ford,Fusion,2016,31270
Mazda,MX-5 Miata,2016,31270
Volkswagen,Tiguan,2015,31260
Hyundai,Santa Fe Sport,2015,31250
Hyundai,Santa Fe Sport,2015,31250
Hyundai,Santa Fe Sport,2016,31250
Lexus,CT 200h,2017,31250
Lexus,CT 200h,2016,31250
Honda,CR-V,2016,31245
Volkswagen,Golf GTI,2016,31235
Toyota,Venza,2014,31220
Volkswagen,Golf GTI,2016,31220
Pontiac,Firebird,2001,31215
Honda,Crosstour,2015,31215
Nissan,350Z,2008,31210
Chevrolet,Camaro,2015,31205
Chevrolet,Traverse,2016,31205
BMW,X1,2015,31200
Audi,A3,2017,31200
Nissan,Pathfinder,2015,31200
BMW,1 Series,2012,31200
Ford,E-Series Wagon,2012,31200
Infiniti,G35,2006,31200
Ford,F-150,2015,31200
Subaru,WRX,2015,31195
Volkswagen,Beetle Convertible,2014,31195
Honda,Crosstour,2015,31190
Ford,F-150,2017,31185
Ford,F-150,2016,31185
Saab,9-3 Griffin,2012,31180
Volkswagen,Jetta Hybrid,2013,31180
Honda,Accord,2017,31175
Hyundai,Tucson,2017,31175
Honda,Accord,2017,31175
Buick,Terraza,2005,31170
Toyota,Tundra,2016,31170
Toyota,Tundra,2016,31170
Ford,Explorer,2017,31160
Nissan,Murano,2015,31160
Volvo,S40,2010,31150
Volvo,S40,2011,31150
Volkswagen,Golf GTI,2015,31145
Ford,Explorer Sport Trac,2009,31145
Ford,Explorer Sport Trac,2009,31145
GMC,Canyon,2015,31145
Toyota,Tacoma,2016,31125
Volkswagen,Beetle Convertible,2015,31125
Toyota,Tacoma,2016,31125
Chevrolet,Silverado 1500,2016,31120
Toyota,Venza,2013,31120
Volkswagen,Jetta,2016,31120
GMC,Sierra 1500 Classic,2007,31115
Ford,Windstar,2001,31115
Lexus,IS 300,2005,31105
Lexus,IS 300,2005,31105
Kia,Sorento,2016,31100
Volkswagen,GTI,2012,31095
Volkswagen,GTI,2012,31095
Scion,FR-S,2015,31090
GMC,Savana Cargo,2014,31075
Mazda,Millenia,2002,31075
Toyota,Highlander,2015,31070
Buick,LaCrosse,2016,31065
Honda,Crosstour,2014,31065
Buick,LaCrosse,2015,31065
Ford,Freestyle,2007,31055
Ford,Explorer,2016,31050
Dodge,Dakota,2009,31045
Honda,Crosstour,2014,31040
Pontiac,Montana,2004,31035
Chevrolet,Silverado 1500,2016,31035
Honda,Accord,2016,31025
Honda,Accord,2016,31025
Mazda,Millenia,2001,31025
Dodge,Ram Pickup 1500,2010,31020
Acura,TSX,2012,31010
Ford,Fusion Hybrid,2017,31010
Acura,TSX,2012,31010
Mazda,RX-8,2009,31000
Volkswagen,GTI,2013,30995
Kia,Borrego,2009,30995
Dodge,Charger,2015,30995
Subaru,WRX,2017,30995
Volkswagen,GTI,2013,30995
Honda,Accord,2017,30995
Mitsubishi,Outlander,2016,30995
Kia,Borrego,2009,30995
Dodge,Journey,2017,30995
Volkswagen,Beetle Convertible,2015,30995
Chevrolet,Traverse,2015,30995
HUMMER,H3,2008,30995
Dodge,Grand Caravan,2015,30995
Volkswagen,Beetle Convertible,2015,30995
Volkswagen,Passat,2017,30995
Kia,Optima Hybrid,2017,30990
Buick,Terraza,2005,30990
Volkswagen,Golf GTI,2015,30980
GMC,Acadia,2016,30975
Ford,F-150,2015,30975
Chevrolet,Malibu,2017,30975
Chevrolet,Express,2014,30970
GMC,Savana,2014,30970
Toyota,Tundra,2016,30950
Ford,Edge,2017,30945
Buick,Encore,2015,30935
Toyota,Prius v,2016,30935
Chrysler,Aspen,2007,30935
Toyota,Prius v,2017,30935
Toyota,Prius v,2015,30935
Buick,Lucerne,2010,30930
GMC,Sierra 1500 Classic,2007,30930
Mazda,Tribute Hybrid,2009,30925
Chevrolet,Malibu,2016,30920
GMC,Terrain,2017,30920
Honda,Crosstour,2013,30915
HUMMER,H3T,2010,30915
GMC,Sierra 1500,2015,30910
GMC,Envoy XL,2006,30910
Suzuki,Equator,2010,30900
Audi,A3,2016,30900
Chrysler,200,2017,30900
Honda,Passport,2002,30900
Honda,CR-V,2015,30895
Volkswagen,Beetle Convertible,2015,30895
Honda,Accord,2017,30895
Dodge,Journey,2016,30895
Volkswagen,Beetle Convertible,2015,30895
Volkswagen,Beetle Convertible,2016,30890
Volkswagen,Golf GTI,2017,30890
Volkswagen,Beetle Convertible,2016,30890
Honda,Crosstour,2013,30890
Volkswagen,Jetta GLI,2014,30875
Volkswagen,Jetta GLI,2014,30875
Dodge,Magnum,2006,30855
Volkswagen,Passat,2015,30850
Ford,Escape,2017,30850
Honda,Accord,2016,30845
Toyota,Tundra,2016,30840
Toyota,Tundra,2016,30840
Chrysler,200,2015,30825
GMC,Sierra 1500 Classic,2007,30825
Honda,Accord,2017,30820
Hyundai,Santa Fe,2017,30800
Volkswagen,GTI,2013,30795
Subaru,Forester,2016,30795
Volkswagen,GTI,2013,30795
Volkswagen,GTI,2014,30795
Kia,Sorento,2017,30790
Chevrolet,Colorado,2015,30785
Buick,Terraza,2007,30780
Ford,Fusion,2015,30780
Dodge,Dakota,2008,30780
Dodge,Ram Pickup 1500,2008,30775
Honda,Accord,2015,30775
Volkswagen,Beetle Convertible,2015,30775
Honda,Accord,2015,30775
Buick,Lucerne,2009,30770
GMC,Envoy,2007,30770
Chrysler,Town and Country,2014,30765
GMC,Canyon,2016,30765
Chevrolet,Venture,2005,30760
Dodge,Dakota,2008,30760
Volkswagen,Beetle Convertible,2014,30755
Chevrolet,Silverado 1500 Classic,2007,30755
HUMMER,H3T,2009,30750
Ford,Taurus X,2008,30750
Honda,Accord,2016,30745
Ford,Explorer Sport Trac,2010,30735
Honda,Ridgeline,2014,30720
Toyota,Camry Solara,2008,30710
Land Rover,Defender,1995,30709
Ford,Explorer,2015,30700
Subaru,Outback,2016,30695
Volkswagen,Beetle Convertible,2014,30695
Ford,Edge,2016,30695
Subaru,B9 Tribeca,2006,30695
Volkswagen,Beetle Convertible,2014,30695
Mazda,6,2017,30695
GMC,Sierra 1500,2015,30695
Subaru,B9 Tribeca,2006,30695
GMC,Sierra 1500 Classic,2007,30675
Ford,F-150,2015,30675
Volkswagen,Tiguan,2016,30675
Honda,Accord,2016,30670
Chevrolet,Colorado,2016,30665
Toyota,RAV4,2016,30665
Dodge,Ram Pickup 1500,2008,30655
Acura,TSX,2014,30635
GMC,Envoy,2009,30625
Volkswagen,Golf GTI,2016,30620
Honda,CR-V,2014,30620
GMC,Terrain,2016,30620
Oldsmobile,Aurora,2001,30619
Ford,Fusion,2017,30610
GMC,Sierra 1500,2015,30610
Scion,FR-S,2016,30610
Ford,F-150,2017,30600
Nissan,350Z,2007,30600
Infiniti,I35,2004,30600
Ford,F-150,2016,30600
Volkswagen,Routan,2010,30600
Volkswagen,GTI,2012,30595
Volkswagen,GTI,2012,30595
Honda,Pilot,2017,30595
Subaru,Tribeca,2012,30595
GMC,Savana Cargo,2016,30595
Nissan,Xterra,2015,30590
Buick,Rainier,2006,30580
Ford,Freestyle,2006,30580
Chevrolet,Venture,2004,30575
Chevrolet,Silverado 1500 Classic,2007,30570
Ford,Escape Hybrid,2011,30570
Buick,Encore,2017,30565
Ford,E-Series Van,2012,30560
Nissan,Frontier,2015,30550
GMC,Terrain,2017,30550
GMC,Sierra 1500 Classic,2007,30550
Mazda,MX-5 Miata,2014,30550
Mazda,MX-5 Miata,2015,30550
Acura,CL,2003,30550
Acura,CL,2003,30550
Nissan,Quest,2016,30540
Pontiac,Montana,2003,30540
Chevrolet,Impala Limited,2016,30535
Chevrolet,Impala Limited,2015,30535
Chevrolet,Impala Limited,2014,30535
Toyota,Tacoma,2016,30530
Volkswagen,Golf Alltrack,2017,30530
Volkswagen,Beetle,2015,30525
Volkswagen,Beetle,2015,30525
Toyota,Venza,2015,30515
Dodge,Dakota,2008,30510
Acura,TSX,2013,30510
Volkswagen,Beetle Convertible,2016,30500
Volkswagen,Beetle Convertible,2016,30500
Kia,Sorento,2016,30500
Honda,Passport,2001,30500
Honda,Accord,2015,30495
Volkswagen,Beetle Convertible,2014,30495
Dodge,Durango,2015,30495
Dodge,Durango,2016,30495
Volkswagen,Beetle Convertible,2014,30495
Volkswagen,Passat,2016,30495
Chrysler,Pacifica,2017,30495
Volkswagen,Passat,2016,30495
Toyota,Highlander,2016,30490
Nissan,Xterra,2013,30490
Toyota,Tacoma,2017,30485
Chevrolet,Silverado 1500 Classic,2007,30465
Buick,Encore,2017,30465
Toyota,Camry Solara,2007,30460
Ford,Freestyle,2005,30440
Chevrolet,Impala,2016,30435
Chevrolet,Colorado,2016,30435
Volkswagen,Beetle Convertible,2015,30425
Volkswagen,Beetle Convertible,2015,30425
Pontiac,Montana,2005,30420
Chevrolet,Camaro,2017,30405
Toyota,Tundra,2017,30400
Toyota,Tundra,2017,30400
Hyundai,Santa Fe,2016,30400
Volkswagen,GTI,2013,30395
Volkswagen,GTI,2013,30395
Subaru,Outback,2016,30395
Subaru,WRX,2016,30395
Volkswagen,Golf GTI,2015,30380
Volkswagen,Jetta,2016,30380
Volkswagen,Jetta,2016,30380
Volkswagen,Jetta,2015,30380
Volkswagen,Jetta,2015,30380
Pontiac,Solstice,2009,30375
Chevrolet,Colorado,2016,30365
Saab,9-3,2009,30360
Chevrolet,Malibu,2015,30355
Acura,CL,2003,30350
Pontiac,Bonneville,2005,30350
Chevrolet,Silverado 1500,2015,30345
Volkswagen,Golf SportWagen,2015,30345
Toyota,Tundra,2015,30340
GMC,Sierra 1500 Classic,2007,30340
Chevrolet,TrailBlazer EXT,2005,30335
Saab,9-3,2010,30330
Saab,9-3,2011,30330
Nissan,Xterra,2014,30320
Chevrolet,Colorado,2012,30320
Chevrolet,Silverado 1500 Classic,2007,30315
Chrysler,Pacifica,2008,30310
Volkswagen,Beetle Convertible,2015,30295
Subaru,Outback,2015,30295
Nissan,Pathfinder,2017,30290
Chevrolet,Impala,2015,30285
Nissan,Quest,2015,30280
Honda,Accord,2015,30270
Chrysler,Sebring,2009,30270
Volkswagen,Jetta SportWagen,2014,30265
Chevrolet,TrailBlazer EXT,2005,30265
GMC,Sierra 1500 Classic,2007,30255
Saab,9-3 Griffin,2012,30250
Buick,Terraza,2006,30250
Chevrolet,Uplander,2006,30250
Chrysler,Pacifica,2007,30250
Dodge,Charger,2016,30245
Hyundai,Veracruz,2011,30245
Dodge,Charger,2017,30245
Volkswagen,Jetta Hybrid,2014,30245
Hyundai,Veracruz,2012,30245
Chevrolet,Venture,2003,30240
Pontiac,Montana,2004,30235
Suzuki,XL7,2009,30230
Chevrolet,TrailBlazer EXT,2006,30230
Ford,E-Series Wagon,2014,30230
Volkswagen,Tiguan,2015,30225
GMC,Jimmy,2001,30225
Ford,Transit Connect,2017,30215
Chevrolet,TrailBlazer,2007,30210
Pontiac,G6,2008,30210
Nissan,350Z,2008,30210
Toyota,Camry Solara,2006,30210
Pontiac,Montana,2005,30210
Honda,Ridgeline,2013,30195
Volkswagen,Beetle Convertible,2015,30195
Honda,Accord,2015,30195
Mazda,6,2016,30195
Subaru,WRX,2017,30195
Toyota,Tacoma,2017,30190
Dodge,Dakota,2010,30180
Toyota,Tundra,2015,30160
Dodge,Dakota,2009,30155
Dodge,Dakota,2008,30155
Hyundai,Santa Fe,2015,30150
Suzuki,XL7,2007,30149
Ford,E-Series Van,2013,30145
Honda,Pilot,2016,30145
Toyota,Camry Hybrid,2017,30140
Toyota,Camry Hybrid,2016,30140
Volkswagen,Golf GTI,2016,30135
Chevrolet,Silverado 1500,2015,30130
Ford,Taurus X,2009,30120
Volkswagen,Golf GTI,2016,30120
GMC,Envoy,2008,30115
Hyundai,Sonata Hybrid,2017,30100
Hyundai,Sonata Hybrid,2016,30100
Hyundai,Sonata Hybrid,2016,30100
Hyundai,Sonata Hybrid,2017,30100
Ford,Edge,2015,30095
Subaru,WRX,2016,30095
Volkswagen,Beetle Convertible,2014,30095
Subaru,Forester,2015,30095
Volkswagen,Tiguan,2017,30095
Ford,F-150,2015,30090
Nissan,Rogue,2016,30080
Chevrolet,TrailBlazer EXT,2004,30070
Mazda,MX-5 Miata,2016,30065
Ford,E-Series Van,2014,30060
GMC,Canyon,2015,30055
GMC,Terrain,2016,30050
Hyundai,Veracruz,2010,30045
Chevrolet,Silverado 1500,2015,30045
Volkswagen,Golf GTI,2015,30045
Chevrolet,Equinox,2017,30040
Pontiac,Bonneville,2004,30035
Chevrolet,Colorado,2016,30030
Acura,CL,2002,30030
Toyota,Tacoma,2016,30025
Ford,Flex,2017,30025
Nissan,Juke,2016,30020
Nissan,Juke,2015,30020
Nissan,Juke,2017,30020
Toyota,Tundra,2017,30020
Toyota,Prius,2017,30015
Ford,Explorer Sport Trac,2008,30015
Ford,Explorer Sport Trac,2008,30015
Toyota,Tundra,2015,30010
Acura,TSX,2012,30010
Toyota,Prius,2015,30005
Chevrolet,Colorado,2015,30005
Toyota,Prius,2016,30000
Chevrolet,Silverado 1500,2017,30000
Mitsubishi,Endeavor,2010,29999
Volkswagen,GTI,2012,29995
Subaru,Crosstrek,2016,29995
Kia,Borrego,2009,29995
Dodge,Charger,2017,29995
Dodge,Charger,2016,29995
Dodge,Charger,2015,29995
Dodge,Challenger,2016,29995
Volkswagen,GTI,2012,29995
Dodge,Challenger,2017,29995
Chrysler,Town and Country,2015,29995
