Make,Model,Year,MSRP
BMW,5 Series Gran Turismo,2016,72500
Cadillac,XTS,2017,72395
Cadillac,XTS,2016,72320
Chevrolet,Camaro,2015,72305
BMW,X5,2017,72300
Porsche,Macan,2015,72300
Audi,A7,2015,72150
Maserati,Levante,2017,72000
Mercedes-Benz,C-Class,2015,71900
Cadillac,Escalade,2015,71695
GMC,Yukon XL,2017,71665
Maserati,Ghibli,2017,71600
BMW,X5,2016,71500
Land Rover,Range Rover Sport,2016,71450
BMW,5 Series Gran Turismo,2015,71400
Audi,A7,2017,71350
Lincoln,Navigator,2016,71260
Lincoln,Navigator,2017,71260
GMC,Yukon XL,2016,71025
Tesla,Model S,2016,71000
Audi,A7,2016,70950
Audi,S6,2016,70900
Audi,RS 5,2015,70900
Audi,S6,2017,70900
Mercedes-Benz,SLK-Class,2015,70850
Cadillac,CTS,2017,70795
Lotus,Exige,2011,70750
Maserati,Ghibli,2016,70600
Audi,A7,2016,70400
GMC,Yukon XL,2015,70220
Chevrolet,Corvette,2017,70195
Chevrolet,Corvette,2016,70145
BMW,X5,2015,70100
Tesla,Model S,2016,70000
Lotus,Evora,2014,69980
Cadillac,CTS,2016,69955
Land Rover,Range Rover Sport,2016,69950
Chevrolet,Corvette,2017,69905
Tesla,Model S,2014,69900
Tesla,Model S,2015,69900
Cadillac,CTS-V Coupe,2015,69900
Maserati,Ghibli,2015,69800
Cadillac,XTS,2015,69785
Audi,A7,2015,69750
Cadillac,Escalade EXT,2011,69740
Mercedes-Benz,GLE-Class Coupe,2017,69650
Cadillac,Escalade EXT,2013,69640
Cadillac,Escalade EXT,2012,69640
Audi,RS 5,2014,69600
Chevrolet,Corvette,2015,69450
Chevrolet,Corvette,2017,69450
Mercedes-Benz,CLS-Class,2016,69400
Cadillac,CTS,2015,69340
Land Rover,LR4,2014,69279
Chevrolet,Corvette,2017,69195
Chevrolet,Corvette,2016,69145
Lincoln,Navigator,2017,69135
Lincoln,Navigator,2016,69135
BMW,5 Series Gran Turismo,2015,69100
Mercedes-Benz,E-Class,2017,69100
Ford,Expedition,2017,68996
GMC,Yukon,2017,68965
Mercedes-Benz,SLK-Class,2014,68925
Chevrolet,Corvette,2017,68905
Audi,RS 5,2013,68900
Chevrolet,Corvette,2016,68855
Audi,A7,2017,68800
Cadillac,STS,2010,68785
Hyundai,Equus,2016,68750
Hyundai,Equus,2015,68750
Lotus,Evora,2014,68750
Mercedes-Benz,GLS-Class,2017,68700
Mercedes-Benz,E-Class,2016,68700
GMC,Yukon XL,2017,68665
BMW,5 Series,2016,68600
Hyundai,Equus,2014,68500
Mercedes-Benz,CLS-Class,2015,68490
Chevrolet,Corvette,2015,68450
Lexus,SC 430,2010,68405
Alfa Romeo,4C,2015,68400
Volkswagen,Touareg 2,2008,68340
GMC,Yukon,2016,68325
Lotus,Evora,2013,68300
Audi,A7,2016,68300
Audi,A7,2015,68300
Land Rover,Range Rover Sport,2015,68295
Chevrolet,Corvette,2015,68160
GMC,Yukon XL,2016,68025
Mercedes-Benz,E-Class,2015,67750
Chevrolet,Suburban,2017,67730
Land Rover,Range Rover Sport,2014,67600
Land Rover,Range Rover Sport,2014,67600
Audi,A6,2017,67600
Cadillac,CT6,2017,67595
Cadillac,CT6,2016,67570
GMC,Yukon,2015,67520
Chevrolet,Suburban,2016,67440
Lexus,LX 470,2006,67395
Lexus,LX 470,2007,67395
Cadillac,Escalade EXT,2011,67350
Audi,S5,2016,67350
Cadillac,Escalade EXT,2012,67250
Cadillac,Escalade EXT,2013,67250
GMC,Yukon XL,2015,67220
Lincoln,Navigator,2015,67220
Porsche,Macan,2017,67200
BMW,5 Series,2015,67200
Chevrolet,Camaro,2017,67140
Infiniti,Q70,2016,67050
Infiniti,Q70,2015,67050
Mercedes-Benz,C-Class,2017,67000
Volkswagen,Touareg,2015,66995
Volkswagen,Phaeton,2005,66950
Audi,RS 4,2008,66910
Mercedes-Benz,CLS-Class,2016,66900
Lexus,SC 430,2009,66805
Lotus,Evora,2013,66800
Cadillac,XTS,2017,66795
Chevrolet,Suburban,2015,66785
Cadillac,XTS,2016,66780
Lincoln,Navigator,2016,66770
Lincoln,Navigator,2017,66770
Volkswagen,Phaeton,2006,66700
Land Rover,Range Rover Sport,2016,66450
Lexus,SC 430,2008,66355
BMW,Z4,2016,66350
Infiniti,QX80,2016,66350
Infiniti,QX80,2015,66350
Ford,Expedition,2017,66347
BMW,5 Series,2016,66300
Porsche,718 Cayman,2017,66300
BMW,M4,2017,66200
Ford,Expedition,2016,66025
Tesla,Model S,2016,66000
Audi,RS 4,2007,66000
Mercedes-Benz,CLS-Class,2015,65990
GMC,Yukon,2017,65965
Ford,Expedition,2017,65957
Acura,RLX,2016,65950
Dodge,Challenger,2016,65945
Dodge,Charger,2016,65945
Dodge,Charger,2017,65945
Audi,A7,2015,65900
Alfa Romeo,4C,2016,65900
BMW,Z4,2014,65800
BMW,Z4,2015,65800
Infiniti,QX80,2014,65800
BMW,M4,2016,65700
Volvo,XC90,2016,65700
Lotus,Exige,2009,65690
Lotus,Exige,2011,65690
Lotus,Exige,2010,65690
Mercedes-Benz,GLE-Class,2017,65650
Mercedes-Benz,E-Class,2016,65600
Lincoln,Navigator,2017,65560
Lincoln,Navigator,2016,65560
Ford,Expedition,2017,65510
Lotus,Evora,2011,65500
Chevrolet,Corvette,2017,65450
Audi,Q7,2015,65400
Infiniti,Q70,2016,65350
Infiniti,Q70,2015,65350
GMC,Yukon,2016,65325
Mercedes-Benz,C-Class,2016,65250
Lexus,LX 470,2005,65225
Toyota,Sequoia,2017,65215
Toyota,Sequoia,2017,65215
Mercedes-Benz,GL-Class,2016,65200
Mercedes-Benz,GL-Class,2015,65200
Mercedes-Benz,C-Class,2017,65200
Chevrolet,Corvette,2017,65195
Chevrolet,Corvette,2016,65145
Mercedes-Benz,GLE-Class Coupe,2016,65100
Toyota,Sequoia,2016,65080
Toyota,Sequoia,2016,65080
Lincoln,Navigator,2015,65055
Chevrolet,Tahoe,2017,65030
Land Rover,Range Rover Sport,2016,64950
Ford,Expedition,2016,64945
Lincoln,Continental,2017,64915
Chevrolet,Corvette,2017,64905
Audi,Q7,2014,64900
BMW,5 Series,2015,64900
Chevrolet,Corvette,2016,64855
Mercedes-Benz,E-Class,2015,64850
GMC,Yukon Hybrid,2013,64805
Mercedes-Benz,CLK-Class,2009,64800
Chevrolet,Tahoe,2016,64740
Chevrolet,Suburban,2017,64730
Cadillac,CTS,2016,64685
Infiniti,Q70,2014,64600
Mercedes-Benz,GLE-Class,2016,64600
Volkswagen,Phaeton,2004,64600
Cadillac,XTS,2017,64595
Cadillac,XTS,2016,64550
Infiniti,Q70,2016,64550
Mercedes-Benz,GL-Class,2014,64550
Infiniti,Q70,2015,64550
GMC,Yukon,2015,64520
Chevrolet,Corvette,2015,64450
Chevrolet,Corvette,2017,64450
Infiniti,QX,2013,64450
Chevrolet,Suburban,2016,64440
Chevrolet,Corvette,2016,64400
Cadillac,CT6,2016,64395
Cadillac,CT6,2017,64395
Toyota,Sequoia,2015,64320
Toyota,Sequoia,2015,64320
Audi,Q7,2017,64300
Cadillac,XTS,2015,64245
BMW,M4,2015,64200
